Building,Bureau,Location,Size
HST,Administration (A),4779,640
SA2,Administration (A),4801,1090
HST,Administration (A),5109,1040
HST,Administration (A),3717,1620
SA4,Administration (A),3940,1390
HST,Administration (A),3661,1480
HST,Administration (A),3374,1770
HST,Administration (A),3387,1940
SA10,African Affairs (AF),2605,640
HST,African Affairs (AF),3573,720
SA5,African Affairs (AF),4694,1470
SA2,African Affairs (AF),2655,1590
HST,African Affairs (AF),6253,1520
HST,African Affairs (AF),7750,1840
SA9,African Affairs (AF),2988,560
HST,African Affairs (AF),7800,1280
HST,African Affairs (AF),5853,1960
HST,African Affairs (AF),3533,540
HST,African Affairs (AF),4822,1210
SA7,African Affairs (AF),4151,1780
HST,African Affairs (AF),2069,1030
SA7,African Affairs (AF),1351,540
HST,African Affairs (AF),2267,920
SA1,African Affairs (AF),1211,930
HST,African Affairs (AF),3964,1730
SA3,African Affairs (AF),2684,1060
SA2,African Affairs (AF),972,890
SA10,African Affairs (AF),2485,540
HST,African Affairs (AF),6338,1810
HST,African Affairs (AF),3907,1580
HST,African Affairs (AF),2451,610
HST,Allowances (A/OPR/ALS),3899,1760
HST,Allowances (A/OPR/ALS),7133,1250
HST,"Arms Control, Verification and Compliance (AVC)",1272,1960
SA9,"Arms Control, Verification and Compliance (AVC)",3943,1850
HST,"Arms Control, Verification and Compliance (AVC)",7286,1370
HST,"Arms Control, Verification and Compliance (AVC)",3914,1560
HST,"Arms Control, Verification and Compliance (AVC)",5281,1670
SA9,Budget and Planning (BP),3292,850
HST,Budget and Planning (BP),5874,1490
HST,Budget and Planning (BP),2335,1800
HST,Budget and Planning (BP),6948,1710
SA2,Budget and Planning (BP),2401,1650
HST,Chief Information Officer (CIO),5932,790
SA7,Chief Information Officer (CIO),2479,830
HST,Chief Information Officer (CIO),2510,760
SA2,Chief Information Officer (CIO),4270,990
HST,Chief Information Officer (CIO),3003,850
SA1,Chief Information Officer (CIO),2964,2000
HST,Chief Information Officer (CIO),6589,1730
HST,Chief Information Officer (CIO),4037,700
SA6,Chief Information Officer (CIO),1309,910
HST,Chief Information Officer (CIO),1632,1000
HST,Chief Information Officer (CIO),6742,830
HST,Comptroller and Global Financial Services (CGFS),1887,1010
SA6,Comptroller and Global Financial Services (CGFS),2663,1540
SA2,Comptroller and Global Financial Services (CGFS),3959,1190
HST,Comptroller and Global Financial Services (CGFS),6353,580
SA9,Comptroller and Global Financial Services (CGFS),3649,520
HST,Comptroller and Global Financial Services (CGFS),6695,1320
SA9,Comptroller and Global Financial Services (CGFS),641,1310
HST,Comptroller and Global Financial Services (CGFS),6536,1070
SA10,Comptroller and Global Financial Services (CGFS),4978,1080
HST,Comptroller and Global Financial Services (CGFS),6439,1520
SA3,Comptroller and Global Financial Services (CGFS),3905,1070
HST,Comptroller and Global Financial Services (CGFS),2228,660
HST,Comptroller and Global Financial Services (CGFS),2130,1560
SA9,Comptroller and Global Financial Services (CGFS),4241,1270
HST,Conflict and Stabilization Operations (CSO),4275,1070
SA5,Conflict and Stabilization Operations (CSO),607,1000
HST,Conflict and Stabilization Operations (CSO),3493,1560
HST,Conflict and Stabilization Operations (CSO),3800,1640
HST,Conflict and Stabilization Operations (CSO),3310,1670
SA6,Conflict and Stabilization Operations (CSO),2773,1160
HST,Conflict and Stabilization Operations (CSO),6834,1340
HST,Conflict and Stabilization Operations (CSO),4584,800
SA7,Conflict and Stabilization Operations (CSO),3519,1950
HST,Conflict and Stabilization Operations (CSO),6595,1320
HST,Conflict and Stabilization Operations (CSO),3222,1460
SA1,Consular Affairs (CA),1584,1750
SA1,Consular Affairs (CA),4391,1270
HST,Consular Affairs (CA),5433,1440
HST,Consular Affairs (CA),6340,1830
HST,Consular Affairs (CA),7603,1950
HST,Consular Affairs (CA),3576,1250
SA7,Consular Affairs (CA),2024,1200
SA5,Consular Affairs (CA),2908,910
HST,Consular Affairs (CA),4338,740
HST,Consular Affairs (CA),5670,810
HST,Consular Affairs (CA),5571,1520
HST,Consular Affairs (CA),5212,1980
